GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.web.config,AbstractShiroWebFilterConfiguration,30,0,0,0,8,0,2,0,2,0
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.web.config,AbstractShiroWebConfiguration,33,104,1,1,9,25,2,10,1,10
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.web.config,ShiroWebFilterConfiguration,6,0,0,0,2,0,2,0,2,0
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.web.config,DefaultShiroFilterChainDefinition,5,18,0,0,2,5,1,3,1,3
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.web.config,ShiroWebConfiguration,0,46,0,0,0,15,0,15,0,15
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.remoting,SecureRemoteInvocationExecutor.new Callable() {...},20,0,0,0,2,0,2,0,2,0
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.remoting,SecureRemoteInvocationExecutor,106,0,14,0,28,0,11,0,4,0
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.remoting,SecureRemoteInvocationFactory,39,97,11,15,14,27,9,8,1,3
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.config,AbstractShiroBeanConfiguration,0,17,0,0,0,4,0,4,0,4
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.config,ShiroBeanConfiguration,0,12,0,0,0,4,0,4,0,4
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.config,ShiroAnnotationProcessorConfiguration,0,10,0,0,0,3,0,3,0,3
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.config,AbstractShiroConfiguration,11,133,1,7,3,39,2,16,1,13
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.config,AbstractShiroAnnotationProcessorConfiguration,0,16,0,0,0,5,0,3,0,3
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.config,ShiroConfiguration,0,37,0,0,0,12,0,12,0,12
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.security.interceptor,AopAllianceAnnotationsAuthorizingMethodInterceptor.new MethodInvocation() {...},17,21,0,0,2,4,2,4,2,4
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.security.interceptor,AopAllianceAnnotationsAuthorizingMethodInterceptor,6,67,0,0,2,14,1,3,1,3
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.security.interceptor,AuthorizationAttributeSourceAdvisor,0,129,1,15,0,27,1,14,0,7
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.web,ShiroFilterFactoryBean.SpringShiroFilter,5,13,2,2,1,6,2,1,0,1
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.web,ShiroFilterFactoryBean,84,253,23,17,26,78,21,25,4,22
Apache Shiro :: Support :: Spring,org.apache.shiro.spring,ShiroEventBusBeanPostProcessor,0,39,0,6,0,11,0,7,0,4
Apache Shiro :: Support :: Spring,org.apache.shiro.spring,LifecycleBeanPostProcessor,56,45,3,5,6,19,3,9,0,8
Apache Shiro :: Support :: Spring,org.apache.shiro.spring.aop,SpringAnnotationResolver,0,36,0,4,0,9,0,4,0,2
